
 Sim No:, 1,, N:, 1.0,, d:, 0.13 
Step No:, 59,, N_bact:, 430,, N_food:,0 
 
Symbol:, pos x:, pos y: 
H,9.80,9.26
H,6.25,4.95
H,3.91,7.24
H,7.05,4.98
H,1.47,2.35
H,3.46,5.00
H,2.67,4.94
H,1.57,4.11
H,8.72,2.10
H,7.62,5.32
H,1.88,4.96
H,5.66,8.58
H,6.77,8.21
H,8.94,1.12
H,0.85,4.98
H,7.48,5.33
H,4.83,4.94
H,3.41,5.04
H,0.03,4.94
H,4.07,0.60
H,2.71,4.97
H,9.54,3.91
H,9.75,5.01
H,6.29,4.83
H,1.50,4.70
H,5.69,3.85
H,6.99,5.04
H,2.63,8.00
H,8.73,0.62
H,9.65,5.05
H,6.40,4.94
H,3.46,7.66
H,6.25,4.95
H,9.92,5.01
H,5.14,3.55
H,6.47,9.45
H,2.67,4.94
H,7.26,7.13
H,5.45,7.11
H,3.47,5.00
H,8.58,4.94
H,6.23,7.36
H,2.53,9.67
H,6.95,4.93
H,3.14,5.03
H,1.19,5.04
H,1.27,5.20
H,6.00,5.04
H,2.57,0.97
H,0.46,2.40
H,9.10,5.04
H,5.11,8.18
H,4.73,5.02
H,4.53,0.52
H,1.65,5.03
H,2.15,5.39
H,6.60,8.74
H,1.12,3.05
H,9.64,5.05
H,7.33,8.09
H,3.73,9.55
H,8.75,0.61
H,1.42,5.34
H,4.42,5.00
H,2.74,4.97
H,5.71,6.78
H,6.86,2.54
H,9.79,9.26
H,1.55,8.31
H,9.91,5.01
H,6.87,1.67
H,7.92,6.28
H,5.81,7.71
H,8.23,5.03
H,4.01,4.95
H,2.66,4.94
H,3.43,6.07
H,0.03,4.94
H,2.71,4.97
H,4.01,5.00
H,5.99,7.41
H,6.51,7.22
H,8.45,1.12
H,2.44,1.42
H,5.46,1.22
H,3.15,5.03
H,3.40,4.83
H,4.42,5.01
H,6.40,4.94
H,7.69,8.68
H,0.38,9.27
H,0.17,7.71
H,8.56,4.94
H,3.67,1.57
H,7.04,4.95
H,8.56,4.94
H,2.67,4.94
H,4.40,8.48
H,5.74,7.93
H,6.38,2.37
H,4.89,7.27
H,1.03,1.02
H,2.90,9.33
H,5.65,8.58
H,6.39,4.94
H,8.57,4.94
H,3.15,5.03
